22,f1_craig,2021-10-19 18:05:49,51710005100,markking mikelindup vinyl cassette cd no1 fan httpstcozu234magha,36.830177,-76.2613,5mi,fan,3,NA,NA,3,NA
23,FormerNiceGirl,2021-10-19 18:05:28,51710005100,i wanna finally play story mode so bad,36.830177,-76.2613,5mi,bad,-3,bad,-1,-3,-1
24,Arianadeseree,2021-10-19 18:05:26,51710005100,i dont just say i love you for no reason if i tell you i really mean that shit ,36.830177,-76.2613,5mi,love, no, shit,3, -1, -4,NA,NA,-0.67,NA
25,Sharkcity_Ave,2021-10-19 18:05:22,51710005100,i should always be on champion lol,36.830177,-76.2613,5mi,lol,3,NA,NA,3,NA
26,claraducann,2021-10-19 18:05:20,51710005100,boblisterpoole cant see poland backing down its not in her vocabulary ,36.830177,-76.2613,5mi,backing,2,cant, down,-1, -1,2,-1
27,law4cheap,2021-10-19 18:04:56,51710005100,who tf ordering this httpstcolz5qo3lu2e,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
28,icenianV7,2021-10-19 18:04:55,51710005100,marcherlord1 it would help if it was possible to drive and park near shops rather than councils being obsessed with selfindulgent green virtue signalling,36.830177,-76.2613,5mi,help, obsessed,2, 2,NA,NA,2,NA
29,DavidAsbury44,2021-10-19 18:04:54,51710005100,jfrex01 odusports cusareport cusa is getting 18 million in exit fees probably more when utep leaves  plus regional rivalries generate more interest,36.830177,-76.2613,5mi,interest,1,more, more,1, 1,1,1
30,fatherof583,2021-10-19 18:04:45,51710005100,jonfreier tmobile yes please,36.830177,-76.2613,5mi,yes, please,1, 1,NA,NA,1,NA
31,lindsiroot,2021-10-19 18:04:43,51710005100,do you remember when you joined twitter i do mytwitteranniversary httpstcoipv3rpc8kx,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
32,ovonicolee_,2021-10-19 18:04:40,51710005100,i be having a drake songbar that applies to every situation amp i be wanting to burst out in song but then people will think im weird so i keep it to myself ,36.830177,-76.2613,5mi,weird,-2,NA,NA,-2,NA
33,_WeatherStove,2021-10-19 18:04:03,51710005100,xotinabelle lol i was like huh,36.830177,-76.2613,5mi,lol, like,3, 2,NA,NA,2.5,NA
34,Lcmwriter100,2021-10-19 18:03:35,51710005100,nocovfefehere thanks,36.830177,-76.2613,5mi,thanks,2,NA,NA,2,NA
35,DrLectersMask,2021-10-19 18:03:28,51710005100,jimeyhimler stephendelvac12 ginanjoey factssince1776 kellyhaley tyrabanksy natoshanjustin shotgun,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
36,yaboynailedit,2021-10-19 18:03:25,51710005100,go dawgs baby lmao httpstcobboafdxkuu,36.830177,-76.2613,5mi,lmao,4,NA,NA,4,NA
37,saved_x_love,2021-10-19 18:03:24,51710005100,shweetass did you know that was lloyd beside him in the vest,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
38,Mitchel62120526,2021-10-19 18:03:19,51710005100,acgrayling from the virus of empire to the empire of virus,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
39,igotkickss,2021-10-19 18:03:19,51710005100,i want money dey want fame ,36.830177,-76.2613,5mi,want, want, fame,1, 1, 1,NA,NA,1,NA
40,owtjg,2021-10-19 18:03:13,51710005100,bootstrapcook straight out of the tin,36.830177,-76.2613,5mi,straight,1,straight,1,1,1
41,smy31191,2021-10-19 18:03:07,51710005100,drinking a rockers ipa by biguglybrewing  anchorage barbershop  httpstcoq0mpmbqhb3,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
42,comptableavelo,2021-10-19 18:02:51,51710005100,jonmwelch although these days thet ent roit the norfolk allpurpose complaint would be more appropriate,36.830177,-76.2613,5mi,NA,NA,more,1,NA,1
43,StrangeCaseCo,2021-10-19 18:02:48,51710005100,ribponce anytime,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
44,laughtherapist,2021-10-19 18:02:27,51710005100,i look forward to my daughters calls from college when no money is involved rachelxhines ,36.830177,-76.2613,5mi,no,-1,NA,NA,-1,NA
